anomaly_id,title,description,metric,observed_value,threshold_value,severity,period,source_file,evidence,recommended_next_check,detection_method,rule_id
ANOM-2026-06-004,Negative or zero operating result,Operating expenses meet or exceed operating revenue.,net_operating_result,-329146.0,0.0,critical,2026-06,finance_summary_2026_06.json,"Net operating result is $-329,146 on $1,877,724 of revenue.",Review revenue shortfalls and expense drivers by department.,rule_based,OPERATING_RESULT_MIN
ANOM-2026-06-005,Negative or low cash flow,Net cash flow is at or below the configured minimum.,net_cash_flow,-685996.0,0.0,critical,2026-06,finance_summary_2026_06.json,"Net cash flow is $-685,996; ending cash is $4,739,362.","Review operating, scholarship, and capital cash outflows.",rule_based,NET_CASH_FLOW_MIN
ANOM-2026-06-001,Payroll exceeds revenue threshold,Payroll cost is above the configured maximum share of revenue.,payroll_percentage_of_revenue,53.10162728920758,42.0,high,2026-06,finance_summary_2026_06.json,Calculated payroll/revenue is 53.10% versus a 42.00% maximum.,"Review payroll by department, overtime, benefits, and headcount.",rule_based,PAYROLL_RATIO_MAX
ANOM-2026-06-002,Tuition collection below target,Student payment collections are below the configured minimum.,student_payment_collection_rate,84.44563489064443,94.0,high,2026-06,finance_summary_2026_06.json,"Collection rate is 84.45% from $1,139,707 paid against $1,349,634 due.","Inspect overdue invoices, aging buckets, and payment plans.",rule_based,TUITION_COLLECTION_MIN
ANOM-2026-06-003,Overdue student payments above limit,The share of overdue student invoices exceeds policy.,overdue_payment_percentage,18.75,6.0,high,2026-06,finance_summary_2026_06.json,9 of 48 invoices are overdue (18.75%).,Review student receivables by aging and department.,rule_based,OVERDUE_PAYMENT_MAX
ANOM-2026-06-006,Vendor payment exceeds review threshold,At least one vendor payment exceeds the configured review value.,maximum_vendor_payment,96000.0,50000.0,high,2026-06,finance_summary_2026_06.json,"Maximum payment is $96,000 versus a $50,000 threshold.","Inspect the underlying vendor invoice, approval, and duplicate checks.",rule_based,VENDOR_PAYMENT_REVIEW
ANOM-2026-06-007,Engineering overspending exceeds flag threshold,Department actual expenses materially exceed budget.,department_expense_variance_pct,18.0,12.0,high,2026-06,department_summary_2026_06.csv,"Engineering spent $734,196 against $622,200 budget (18.00% variance).","Inspect department expense categories, payroll, and vendors.",rule_based,DEPARTMENT_OVERSPEND_FLAG
ANOM-2026-06-008,Health Sciences overspending exceeds flag threshold,Department actual expenses materially exceed budget.,department_expense_variance_pct,16.403285638579757,12.0,high,2026-06,department_summary_2026_06.csv,"Health Sciences spent $658,959 against $566,100 budget (16.40% variance).","Inspect department expense categories, payroll, and vendors.",rule_based,DEPARTMENT_OVERSPEND_FLAG
ANOM-2026-06-009,Equipment category overspending,Expense category actual value exceeds its budget range.,category_expense_variance_pct,22.02957450364623,12.0,high,2026-06,category_summary_2026_06.csv,"Equipment actual $277,444 versus budget $227,358; variance 22.03%.",Review the category by department and underlying transactions.,rule_based,CATEGORY_OVERSPEND_FLAG
ANOM-2026-06-010,Facilities category outside budget target,Expense category actual value exceeds its budget range.,category_expense_variance_pct,11.018181224169757,8.0,medium,2026-06,category_summary_2026_06.csv,"Facilities actual $407,772 versus budget $367,302; variance 11.02%.",Review the category by department and underlying transactions.,rule_based,CATEGORY_BUDGET_RANGE
ANOM-2026-06-011,Payroll category outside budget target,Expense category actual value exceeds its budget range.,category_expense_variance_pct,11.003347571924927,8.0,medium,2026-06,category_summary_2026_06.csv,"Payroll actual $997,102 versus budget $898,263; variance 11.00%.",Review the category by department and underlying transactions.,rule_based,CATEGORY_BUDGET_RANGE
